Ngay,Gia_target,outlier_flag,target_lag1,target_lag2,target_lag3,target_ret_lag1,MA5,MA10,std5,dayofweek,month,london_vnd_kg_lag1,usdvnd_lag1,diesel,diesel_chg_1m,diesel_chg_3m,rain_90d,oni,waterbal_90d,Luong_lag1m,dongia_lag1m,dongia_ret_lag1m,area_tn,prod_tn,yield_tn,tonkho_tan
2023-03-28,48316.5,0,48366.5,47666.5,47016.5,0.014685366032748393,47386.5,47006.5,629.0866395020216,1,3,52029.0,23500.0,19300,-0.0721153846153845,-0.1064814814814815,63.42000075999999,-0.54,-329.214725582,114.54,2235.812816483324,-0.0040788073833604,652.2,1742057.5,2.6710479914136767,214800.0
2023-03-29,47916.5,0,48316.5,48366.5,47666.5,-0.0010337733762004753,47676.5,47146.5,662.7593831851395,2,3,50294.16,23480.0,19300,-0.0721153846153845,-0.1064814814814815,64.52000072,-0.54,-329.58085390200006,114.54,2235.812816483324,-0.0040788073833604,652.2,1742057.5,2.6710479914136767,214800.0
2023-03-30,47766.5,0,47916.5,48316.5,48366.5,-0.00827874535614126,47856.5,47281.5,551.588614820816,3,3,50082.84,23480.0,19300,-0.0721153846153845,-0.1064814814814815,65.620000808,-0.54,-330.096847814,114.54,2235.812816483324,-0.0040788073833604,652.2,1742057.5,2.6710479914136767,214800.0
2023-03-31,48066.5,0,47766.5,47916.5,48316.5,-0.0031304456711154227,48006.5,47386.5,318.98275815464785,4,3,50953.37,23470.0,19300,-0.0721153846153845,-0.1064814814814815,67.36000080000001,-0.54,-329.90070060200003,114.54,2235.812816483324,-0.0040788073833604,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-03,48566.5,0,48066.5,47766.5,47916.5,0.006280552269896322,48086.5,47536.5,256.4176280990575,0,4,50956.85,23450.0,19430,-0.0404938271604938,-0.1227990970654627,71.82000069,-0.29,-330.604520492,114.54,2235.812816483324,-0.0040788073833604,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-04,48966.5,0,48566.5,48066.5,47766.5,0.010402255208929345,48126.5,47756.5,318.98275815464785,1,4,51516.65,23470.0,19430,-0.0404938271604938,-0.1227990970654627,72.280000658,-0.29,-332.29580696400006,114.54,2235.812816483324,-0.0040788073833604,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-05,49466.5,0,48966.5,48566.5,48066.5,0.008236129842587037,48256.5,47966.5,497.99598391949564,2,4,52057.74,23460.0,19430,-0.0404938271604938,-0.1227990970654627,68.79999985799999,-0.29,-338.125295394,114.54,2235.812816483324,-0.0040788073833604,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-06,49766.5,0,49466.5,48966.5,48566.5,0.010211062665291593,48566.5,48211.5,681.9090848492536,3,4,53359.41,23465.0,19430,-0.0404938271604938,-0.1227990970654627,65.579999798,-0.29,-343.994185022,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-07,49566.5,0,49766.5,49466.5,48966.5,0.006064710460614853,48966.5,48486.5,681.9090848492536,4,4,52905.456,23451.0,19430,-0.0404938271604938,-0.1227990970654627,60.799999958,-0.29,-353.208618522,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
2023-04-10,49766.5,0,49566.5,49766.5,49466.5,-0.004018767644901722,49266.5,48676.5,489.89794855658107,0,4,52885.152,23442.0,19430,-0.0404938271604938,-0.1227990970654627,44.300000218,-0.29,-379.611181502,152.45,2226.6972777959986,-0.0040770580703903,652.2,1742057.5,2.6710479914136767,214800.0
