Ngay,diesel,diesel_chg_1m,diesel_chg_3m
2021-03-11,13840,0.09493670886075956,0.27793167128347185
2021-03-12,14400,0.10429447852760743,0.2111017661900756
2021-03-15,14400,0.10429447852760743,0.2111017661900756
2021-03-16,14400,0.10429447852760743,0.2111017661900756
2021-03-17,14400,0.10429447852760743,0.2111017661900756
2021-03-18,14400,0.10429447852760743,0.2111017661900756
2021-03-19,14400,0.10429447852760743,0.2111017661900756
2021-03-22,14400,0.10429447852760743,0.2111017661900756
2021-03-23,14400,0.10429447852760743,0.2111017661900756
2021-03-24,14400,0.10429447852760743,0.2111017661900756
2021-03-25,14400,0.10429447852760743,0.2111017661900756
2021-03-26,14400,0.10429447852760743,0.2111017661900756
2021-03-29,14240,0.028901734104046284,0.15117219078415522
2021-03-30,14240,0.028901734104046284,0.15117219078415522
2021-03-31,14240,0.028901734104046284,0.15117219078415522
2021-04-01,14240,0.028901734104046284,0.15117219078415522
2021-04-02,14240,0.028901734104046284,0.15117219078415522
2021-04-05,14240,0.028901734104046284,0.15117219078415522
2021-04-06,14240,0.028901734104046284,0.15117219078415522
2021-04-07,14240,0.028901734104046284,0.15117219078415522
2021-04-08,14240,0.028901734104046284,0.15117219078415522
2021-04-09,14240,0.028901734104046284,0.15117219078415522
2021-04-12,14140,-0.018055555555555602,0.11867088607594933
2021-04-13,14140,-0.018055555555555602,0.11867088607594933
2021-04-14,14140,-0.018055555555555602,0.11867088607594933
2021-04-15,14140,-0.018055555555555602,0.11867088607594933
2021-04-16,14140,-0.018055555555555602,0.11867088607594933
2021-04-19,14140,-0.018055555555555602,0.11867088607594933
2021-04-20,14140,-0.018055555555555602,0.11867088607594933
2021-04-21,14140,-0.018055555555555602,0.11867088607594933
2021-04-22,14140,-0.018055555555555602,0.11867088607594933
2021-04-23,14140,-0.018055555555555602,0.11867088607594933
2021-04-26,14140,-0.018055555555555602,0.11867088607594933
2021-04-27,14320,0.00561797752808979,0.09815950920245409
2021-04-28,14320,0.00561797752808979,0.09815950920245409
2021-04-29,14320,0.00561797752808979,0.09815950920245409
2021-04-30,14320,0.00561797752808979,0.09815950920245409
2021-05-03,14320,0.00561797752808979,0.09815950920245409
2021-05-04,14320,0.00561797752808979,0.09815950920245409
2021-05-05,14320,0.00561797752808979,0.09815950920245409
2021-05-06,14320,0.00561797752808979,0.09815950920245409
2021-05-07,14320,0.00561797752808979,0.09815950920245409
2021-05-10,14320,0.00561797752808979,0.09815950920245409
2021-05-11,14320,0.00561797752808979,0.09815950920245409
2021-05-12,14770,0.044554455445544594,0.13266871165644178
2021-05-13,14770,0.044554455445544594,0.13266871165644178
2021-05-14,14770,0.044554455445544594,0.13266871165644178
2021-05-17,14770,0.044554455445544594,0.13266871165644178
2021-05-18,14770,0.044554455445544594,0.13266871165644178
2021-05-19,14770,0.044554455445544594,0.13266871165644178
2021-05-20,14770,0.044554455445544594,0.13266871165644178
2021-05-21,14770,0.044554455445544594,0.13266871165644178
2021-05-24,14770,0.044554455445544594,0.13266871165644178
