Ngay,available_from,rain_30d,rain_90d,rain_90d_anom,waterbal_90d,tmax_30d,hot_days_30d,oni,oni_chg_3m,enso
2022-01-07,2022-01-07,25.000000608,426.479998914,194.7678701270321,145.79444052199997,25.249000000000002,0.0,-0.91,-0.46,-1
2022-01-10,2022-01-10,26.960000648,385.579997634,153.86786884703207,101.02021278199997,25.510333333333335,0.0,-0.91,-0.46,-1
2022-01-11,2022-01-11,26.960000648,370.81999889400004,139.1078701070321,83.56503014199998,25.554,0.0,-0.91,-0.46,-1
2022-01-12,2022-01-12,26.900000648000002,353.139998494,121.42786970703207,64.31332128199998,25.613333333333333,0.0,-0.91,-0.46,-1
2022-01-13,2022-01-13,26.900000648000002,337.65999849400004,105.94786970703211,47.104977341999984,25.627666666666666,0.0,-0.91,-0.46,-1
2022-01-14,2022-01-14,26.900000648000002,320.819998494,89.10786970703208,28.480695781999984,25.601666666666667,0.0,-0.91,-0.46,-1
2022-01-17,2022-01-17,26.340000640000003,273.000001574,41.287872787032086,-23.384801398000008,25.658,0.0,-0.91,-0.46,-1
2022-01-18,2022-01-18,17.16000024,264.480001494,32.7678727070321,-32.61100487800001,25.869000000000003,0.0,-0.91,-0.46,-1
2022-01-19,2022-01-19,17.14000024,259.880001494,28.167872707032075,-37.58863121800001,25.854333333333333,0.0,-0.91,-0.46,-1
2022-01-20,2022-01-20,17.12000024,254.640001474,22.927872687032078,-43.15438005800001,25.859333333333336,0.0,-0.91,-0.46,-1
2022-01-21,2022-01-21,15.6400003,247.02000177399998,15.307872987032056,-52.82529207800001,25.926,0.0,-0.91,-0.46,-1
2022-01-24,2022-01-24,11.800000338,232.580001422,0.8678726350320858,-71.6164152,26.15866666666667,0.0,-0.91,-0.46,-1
2022-01-25,2022-01-25,12.120000338,194.940003042,-36.77212574496792,-112.02771438,26.235333333333333,0.0,-0.91,-0.46,-1
2022-01-26,2022-01-26,9.520000377999999,191.720003006,-39.99212578096791,-116.22467817600001,26.331666666666663,0.0,-0.91,-0.46,-1
