Ngay,Nam,Thang,available_from,Luong_nghin_tan,KimNgach_trieu_USD,DonGia_USD_tan,Luong_lag1m,DonGia_lag1m,DonGia_ret_lag1m
2010-12-01,2010,12,2011-01-06,163.93,291.59,1778.7470261697065,76.87,1743.4629894627294,0.02735342042622424
2011-01-01,2011,1,2011-02-06,215.02,413.12,1921.3096456143614,163.93,1778.7470261697065,0.020237904056598532
2011-02-01,2011,2,2011-03-06,143.91,302.38,2101.174345076784,215.02,1921.3096456143614,0.08014777669180106
2011-03-01,2011,3,2011-04-06,215.31,487.75,2265.338349356741,143.91,2101.174345076784,0.09361567505424606
2011-04-01,2011,4,2011-05-06,128.71,307.66,2390.334861316137,215.31,2265.338349356741,0.07812964434132108
2011-05-01,2011,5,2011-06-06,97.93,237.93,2429.592566118656,128.71,2390.334861316137,0.05517785543819076
2011-06-01,2011,6,2011-07-06,69.34,162.04,2336.8906835881166,97.93,2429.592566118656,0.016423516820945894
2011-07-01,2011,7,2011-08-06,58.02,134.8,2323.3367804205445,69.34,2336.8906835881166,-0.038155320288386196
2011-08-01,2011,8,2011-09-06,41.56,95.14,2289.220404234841,58.02,2323.3367804205445,-0.005799973127866287
2011-09-01,2011,9,2011-10-06,28.18,63.78,2263.3073101490418,41.56,2289.220404234841,-0.014684214735122492
2011-10-01,2011,10,2011-11-06,32.23,73.39,2277.0710518150795,28.18,2263.3073101490418,-0.011319615200818034
2011-11-01,2011,11,2011-12-06,70.6,149.42,2116.43059490085,32.23,2277.0710518150795,0.006081251805408305
2011-12-01,2011,12,2012-01-06,156.51,325.07,2076.991885502524,70.6,2116.43059490085,-0.07054696724820297
2012-01-01,2012,1,2012-02-06,117.85,241.13,2046.0755197284684,156.51,2076.991885502524,-0.018634539442657028
2012-02-01,2012,2,2012-03-06,206.23,427.82,2074.4799495708676,117.85,2046.0755197284684,-0.014885164448572352
2012-03-01,2012,3,2012-04-06,209.64,440.13,2099.456210646823,206.23,2074.4799495708676,0.013882395624462918
2012-04-01,2012,4,2012-05-06,168.99,356.38,2108.8821823776557,209.64,2099.456210646823,0.012039769813693368
2012-05-01,2012,5,2012-06-06,205.36,434.8,2117.2574990261005,168.99,2108.8821823776557,0.004489720568131572
2012-06-01,2012,6,2012-07-06,140.99,304.16,2157.3161217107595,205.36,2117.2574990261005,0.003971448342838135
2012-07-01,2012,7,2012-08-06,116.55,256.27,2198.7987987987985,140.99,2157.3161217107595,0.01892005233330618
2012-08-01,2012,8,2012-09-06,103.26,229.97,2227.0966492349407,116.55,2198.7987987987985,0.019228835621523555
2012-09-01,2012,9,2012-10-06,70.68,159.74,2260.045274476514,103.26,2227.0966492349407,0.012869686144817427
2012-10-01,2012,10,2012-11-06,102.59,230.12,2243.103616336875,70.68,2260.045274476514,0.014794429892789784
2012-11-01,2012,11,2012-12-06,127.52,261.96,2054.2659974905896,102.59,2243.103616336875,-0.007496158741139847
2012-12-01,2012,12,2013-01-06,162.54,330.38,2032.6073581887536,127.52,2054.2659974905896,-0.08418586527655314
2013-01-01,2013,1,2013-02-06,223.8,460.22,2056.38963360143,162.54,2032.6073581887536,-0.010543249670828092
2013-02-01,2013,2,2013-03-06,99.75,217.29,2178.345864661654,223.8,2056.38963360143,0.01170037849015193
2013-03-01,2013,3,2013-04-06,157.21,350.49,2229.4383308949814,99.75,2178.345864661654,0.05930599389700175
2013-04-01,2013,4,2013-05-06,109.28,240.12,2197.291361639824,157.21,2229.4383308949814,0.023454708025101967
2013-05-01,2013,5,2013-06-06,116.24,251.54,2163.9710942876804,109.28,2197.291361639824,-0.014419313066287964
2013-06-01,2013,6,2013-07-06,87.32,184.24,2109.9404489235,116.24,2163.9710942876804,-0.015164246277870497
2013-07-01,2013,7,2013-08-06,89.27,191.21,2141.928979500392,87.32,2109.9404489235,-0.02496828423762565
2013-08-01,2013,8,2013-09-06,80.96,173.23,2139.6986166007905,89.27,2141.928979500392,0.015160868920832682
2013-09-01,2013,9,2013-10-06,61.98,132.31,2134.720877702485,80.96,2139.6986166007905,-0.0010412870459046708
2013-10-01,2013,10,2013-11-06,60.74,122.42,2015.4757984853475,61.98,2134.720877702485,-0.0023263738452163896
2013-11-01,2013,11,2013-12-06,79.16,141.41,1786.3820111167256,60.74,2015.4757984853475,-0.05585979903165428
2013-12-01,2013,12,2014-01-06,134.51,253.1,1881.6444873987064,79.16,1786.3820111167256,-0.11366734720446081
2014-01-01,2014,1,2014-02-06,140.2,264.21,1884.5221112696147,134.51,1881.6444873987064,0.05332704633676255
2014-02-01,2014,2,2014-03-06,182.81,347.23,1899.403752529949,140.2,1884.5221112696147,0.0015293132630418427
2014-03-01,2014,3,2014-04-06,274.17,559.51,2040.7411460043038,182.81,1899.403752529949,0.00789677190378435
2014-04-01,2014,4,2014-05-06,207.45,439.27,2117.474090142203,274.17,2040.7411460043038,0.07441145321846254
2014-05-01,2014,5,2014-06-06,150.25,325.03,2163.261231281198,207.45,2117.474090142203,0.03760052777302958
2014-06-01,2014,6,2014-07-06,115.03,252.26,2192.9931322263756,150.25,2163.261231281198,0.021623471735571664
2014-07-01,2014,7,2014-08-06,127.65,274.49,2150.3329416372894,115.03,2192.9931322263756,0.013744017835316535
2014-08-01,2014,8,2014-09-06,99.81,220.92,2213.405470393748,127.65,2150.3329416372894,-0.019452952205908924
2014-09-01,2014,9,2014-10-06,98.37,216.05,2196.2996848632715,99.81,2213.405470393748,0.02933151770833886
2014-10-01,2014,10,2014-11-06,95.75,211.62,2210.1305483028723,98.37,2196.2996848632715,-0.007728265678964674
2014-11-01,2014,11,2014-12-06,83.8,191.44,2284.4868735083533,95.75,2210.1305483028723,0.0062973480053392095
2014-12-01,2014,12,2015-01-06,115.34,254.9,2209.9878619732963,83.8,2284.4868735083533,0.03364340864958315
2015-01-01,2015,1,2015-02-06,146.16,307.4,2103.1746031746034,115.34,2209.9878619732963,-0.03261082932844639
2015-02-01,2015,2,2015-03-06,97.38,204.01,2094.9887040460053,146.16,2103.1746031746034,-0.04833205676673691
2015-03-01,2015,3,2015-04-06,136.55,276.62,2025.7781032588796,97.38,2094.9887040460053,-0.0038921633592579052
2015-04-01,2015,4,2015-05-06,106.68,218.67,2049.775028121485,136.55,2025.7781032588796,-0.03303626442159846
2015-05-01,2015,5,2015-06-06,108.34,221.09,2040.7051873730848,106.68,2049.775028121485,0.011845781541424127
2015-06-01,2015,6,2015-07-06,109.67,221.96,2023.8898513722986,108.34,2040.7051873730848,-0.0044247981480739496
2015-07-01,2015,7,2015-08-06,111.45,224.89,2017.8555406011665,109.67,2023.8898513722986,-0.008239963373853021
2015-08-01,2015,8,2015-09-06,95.02,190.26,2002.3153020416755,111.45,2017.8555406011665,-0.0029815410987117374
2015-09-01,2015,9,2015-10-06,87.12,167.82,1926.3085399449035,95.02,2002.3153020416755,-0.00770136327740345
2015-10-01,2015,10,2015-11-06,88.02,169.16,1921.8359463758236,87.12,1926.3085399449035,-0.037959437267083396
2015-11-01,2015,11,2015-12-06,103.07,193.28,1875.2304259241291,88.02,1921.8359463758236,-0.0023218469296760746
2015-12-01,2015,12,2016-01-06,151.78,276.23,1819.936750560021,103.07,1875.2304259241291,-0.024250519686439764
2016-01-01,2016,1,2016-02-06,176.65,306.15,1733.0880271723747,151.78,1819.936750560021,-0.029486336505477162
2016-02-01,2016,2,2016-03-06,117.7,197.19,1675.36108751062,176.65,1733.0880271723747,-0.04772073719645564
2016-03-01,2016,3,2016-04-06,179.95,303.01,1683.8566268407892,117.7,1675.36108751062,-0.03330871759349652
2016-04-01,2016,4,2016-05-06,187.99,318.36,1693.4943348050429,179.95,1683.8566268407892,0.00507087062812972
2016-05-01,2016,5,2016-06-06,161.01,286.12,1777.032482454506,187.99,1693.4943348050429,0.005723591789602578
2016-06-01,2016,6,2016-07-06,158.05,291.79,1846.1879152167037,161.01,1777.032482454506,0.04932886159260774
2016-07-01,2016,7,2016-08-06,139.32,263.51,1891.4010910134941,158.05,1846.1879152167037,0.03891624573270458
2016-08-01,2016,8,2016-09-06,151.58,292.01,1926.4414830452565,139.32,1891.4010910134941,0.02449001828260977
2016-09-01,2016,9,2016-10-06,128.84,255.49,1983.002173238125,151.58,1926.4414830452565,0.01852615619090403
2016-10-01,2016,10,2016-11-06,117.04,243.73,2082.4504442925495,128.84,1983.002173238125,0.02936019115590205
2016-11-01,2016,11,2016-12-06,114.58,248.33,2167.30668528539,117.04,2082.4504442925495,0.05015035908509957
2016-12-01,2016,12,2017-01-06,147.67,328.62,2225.3673731969934,114.58,2167.30668528539,0.04074826425061362
2017-01-01,2017,1,2017-02-06,184.92,410.46,2219.6625567813107,147.67,2225.3673731969934,0.026789327189270518
2017-02-01,2017,2,2017-03-06,167.88,377.68,2249.702168215392,184.92,2219.6625567813107,-0.0025635391640917993
2017-03-01,2017,3,2017-04-06,186.01,420.98,2263.2116552873504,167.88,2249.702168215392,0.013533413600327115
2017-04-01,2017,4,2017-05-06,143.6,324.9,2262.534818941504,186.01,2263.2116552873504,0.006005011357870238
2017-05-01,2017,5,2017-06-06,127.69,287.08,2248.2574986294935,143.6,2262.534818941504,-0.0002990601185113295
2017-06-01,2017,6,2017-07-06,121.67,275.25,2262.2667872113093,127.69,2248.2574986294935,-0.006310320704231209
2017-07-01,2017,7,2017-08-06,104.14,242.71,2330.6126368350297,121.67,2262.2667872113093,0.00623117618438096
2017-08-01,2017,8,2017-09-06,96.13,224.96,2340.1643607614687,104.14,2330.6126368350297,0.030211224427676875
2017-09-01,2017,9,2017-10-06,79.95,186.42,2331.7073170731705,96.13,2340.1643607614687,0.004098374725801879
2017-10-01,2017,10,2017-11-06,79.27,185.11,2335.1835498927717,79.95,2331.7073170731705,-0.0036138673975645297
2017-11-01,2017,11,2017-12-06,104.73,225.11,2149.4318724338777,79.27,2335.1835498927717,0.0014908529874857468
2017-12-01,2017,12,2018-01-06,163.94,326.58,1992.0702696108333,104.73,2149.4318724338777,-0.07954478673311283
2018-01-01,2018,1,2018-02-06,216.39,419.7,1939.553583807015,163.94,1992.0702696108333,-0.07321078878618204
2018-02-01,2018,2,2018-03-06,136.48,264.12,1935.2286049237985,216.39,1939.553583807015,-0.026362868120148097
2018-03-01,2018,3,2018-04-06,210.53,405.22,1924.7613166769581,136.48,1935.2286049237985,-0.0022298836801030175
2018-04-01,2018,4,2018-05-06,163.57,312.15,1908.3572782295041,210.53,1924.7613166769581,-0.005408812282026276
2018-05-01,2018,5,2018-06-06,155.33,304.6,1960.9862872593833,163.57,1908.3572782295041,-0.008522635147185431
2018-06-01,2018,6,2018-07-06,155.87,296.73,1903.7018027843717,155.33,1960.9862872593833,0.027578173977309994
2018-07-01,2018,7,2018-08-06,134.62,253.13,1880.3298172634081,155.87,1903.7018027843717,-0.02921207804827164
2018-08-01,2018,8,2018-09-06,153.1,281.84,1840.8883082952318,134.62,1880.3298172634081,-0.012277125276017209
2018-09-01,2018,9,2018-10-06,120.65,212.05,1757.563199336925,153.1,1840.8883082952318,-0.020975846155319
2018-10-01,2018,10,2018-11-06,138.12,251.16,1818.4187662901825,120.65,1757.563199336925,-0.04526353314475151
2018-11-01,2018,11,2018-12-06,139.31,260.14,1867.3462063024908,138.12,1818.4187662901825,0.03462496653105651
2018-12-01,2018,12,2019-01-06,153.46,275.68,1796.4290368825752,139.31,1867.3462063024908,0.026906585501274227
2019-01-01,2019,1,2019-02-06,183.7,324.25,1765.1061513336963,153.46,1796.4290368825752,-0.037977515460476785
2019-02-01,2019,2,2019-03-06,115.12,199.53,1733.2348853370397,183.7,1765.1061513336963,-0.01743619419736997
2019-03-01,2019,3,2019-04-06,172.08,298.53,1734.8326359832636,115.12,1733.2348853370397,-0.018056288553849886
2019-04-01,2019,4,2019-05-06,143.3,243.38,1698.3949755757153,172.08,1734.8326359832636,0.0009218315761705398
2019-05-01,2019,5,2019-06-06,145.19,238.14,1640.1956057579723,143.3,1698.3949755757153,-0.02100355945108001
2019-06-01,2019,6,2019-07-06,142.35,238.07,1672.4271162627326,145.19,1640.1956057579723,-0.03426727625475623
2019-07-01,2019,7,2019-08-06,140.45,241.02,1716.055535777857,142.35,1672.4271162627326,0.019651016251726494
2019-08-01,2019,8,2019-09-06,114.17,197.14,1726.7233073486905,140.45,1716.055535777857,0.026086888385676188
2019-09-01,2019,9,2019-10-06,92.35,168.68,1826.52950730915,114.17,1726.7233073486905,0.006216448913465955
2019-10-01,2019,10,2019-11-06,87.5,157.57,1800.8,92.35,1826.52950730915,0.05780092243829582
