Date,Price
2021-07-01,1701.0
2021-07-02,1707.0
2021-07-05,1687.0
2021-07-06,1679.0
2021-07-07,1702.0
2021-07-08,1707.0
2021-07-09,1744.0
2021-07-12,1744.0
2021-07-13,1717.0
2021-07-14,1762.0
2021-07-15,1756.0
2021-07-16,1767.0
2021-07-19,1732.0
2021-07-20,1761.0
2021-07-21,1779.0
2021-07-22,1889.0
2021-07-23,1899.0
2021-07-26,1964.0
2021-07-27,1940.0
2021-07-28,1943.0
2021-07-29,1900.0
2021-07-30,1801.0
2021-08-02,1766.0
2021-08-03,1787.0
2021-08-04,1787.0
2021-08-05,1782.0
2021-08-06,1754.0
2021-08-09,1797.0
2021-08-10,1863.0
2021-08-11,1864.0
2021-08-12,1854.0
2021-08-13,1836.0
2021-08-16,1853.0
2021-08-17,1845.0
2021-08-18,1877.0
2021-08-19,1863.0
2021-08-20,1882.0
2021-08-23,1912.0
2021-08-24,1971.0
2021-08-25,1973.0
2021-08-26,1994.0
2021-08-27,2018.0
2021-08-31,2026.0
2021-09-01,2066.0
2021-09-02,2056.0
2021-09-03,2059.0
2021-09-06,2082.0
2021-09-07,2102.0
2021-09-08,2078.0
2021-09-09,2050.0
2021-09-10,2048.0
2021-09-13,2057.0
2021-09-14,2063.0
2021-09-15,2082.0
2021-09-16,2107.0
2021-09-17,2151.0
2021-09-20,2152.0
2021-09-21,2160.0
2021-09-22,2142.0
2021-09-23,2146.0
2021-09-24,2148.0
2021-09-27,2115.0
2021-09-28,2145.0
2021-09-29,2110.0
2021-09-30,2119.0
2021-10-01,2161.0
2021-10-04,2140.0
2021-10-05,2109.0
2021-10-06,2116.0
2021-10-07,2116.0
2021-10-08,2116.0
2021-10-11,2104.0
2021-10-12,2151.0
2021-10-13,2143.0
2021-10-14,2145.0
2021-10-15,2121.0
2021-10-18,2115.0
2021-10-19,2120.0
2021-10-20,2131.0
2021-10-21,2135.0
2021-10-22,2141.0
2021-10-25,2195.0
2021-10-26,2270.0
2021-10-27,2197.0
2021-10-28,2177.0
2021-10-29,2214.0
2021-11-01,2269.0
2021-11-02,2234.0
2021-11-03,2232.0
2021-11-04,2204.0
2021-11-05,2181.0
2021-11-08,2166.0
2021-11-09,2226.0
2021-11-10,2215.0
2021-11-11,2292.0
2021-11-12,2277.0
2021-11-15,2264.0
2021-11-16,2237.0
2021-11-17,2256.0
2021-11-18,2212.0
2021-11-19,2245.0
2021-11-22,2251.0
2021-11-23,2297.0
2021-11-24,2281.0
2021-11-25,2228.0
2021-11-26,2237.0
2021-11-29,2197.0
2021-11-30,2200.0
2021-12-01,2253.0
2021-12-02,2265.0
2021-12-03,2298.0
2021-12-06,2315.0
2021-12-07,2273.0
2021-12-08,2295.0
2021-12-09,2306.0
2021-12-10,2291.0
2021-12-13,2287.0
2021-12-14,2297.0
2021-12-15,2303.0
2021-12-16,2299.0
2021-12-17,2333.0
2021-12-20,2308.0
2021-12-21,2317.0
2021-12-22,2339.0
2021-12-23,2353.0
2021-12-28,2343.0
2021-12-29,2364.0
2021-12-30,2373.0
2021-12-31,2370.0
2022-01-04,2349.0
2022-01-05,2321.0
2022-01-06,2307.0
2022-01-07,2316.0
2022-01-10,2260.0
2022-01-11,2268.0
2022-01-12,2282.0
2022-01-13,2237.0
2022-01-14,2228.0
2022-01-17,2218.0
