ngay_ky,gio,mat_hang,gia,chenh_lech
2022-02-11,,E5_RON92,24570,980
2022-02-11,,KO,18750,960
2022-02-11,,RON95,25320,960
2022-02-21,,"DO_0,05S",20800,940
2022-02-21,,E5_RON92,25530,960
2022-02-21,,KO,19500,750
2022-02-21,,RON95,26280,960
2022-03-01,,"DO_0,05S",21310,510
2022-03-01,,E5_RON92,26070,540
2022-03-01,,KO,19970,470
2022-03-01,,RON95,26830,550
2022-03-11,,"DO_0,05S",25260,3950
2022-03-11,,E5_RON92,28980,2910
2022-03-11,,KO,23910,3940
2022-03-11,,RON95,29820,2990
2022-03-21,,"DO_0,05S",23630,-1630
2022-03-21,,E5_RON92,28330,-650
2022-03-21,,KO,22240,-1670
2022-03-21,,RON95,29190,-630
2022-04-01,,"DO_0,05S",25080,1450
2022-04-01,,E5_RON92,27300,-1030
2022-04-01,,KO,23760,1520
2022-04-01,,RON95,28150,-1040
2022-04-12,,"DO_0,05S",24380,-700
2022-04-12,,E5_RON92,26470,-830
2022-04-12,,KO,23020,-740
2022-04-12,,RON95,27310,-840
2022-04-21,,"DO_0,05S",25350,970
2022-04-21,,E5_RON92,27130,660
2022-04-21,,KO,23820,800
2022-04-21,,RON95,27990,680
2022-05-04,,"DO_0,05S",25530,180
2022-05-04,,E5_RON92,27460,330
2022-05-04,,KO,23820,0
2022-05-04,,RON95,28430,440
2022-05-11,,"DO_0,05S",26650,1120
2022-05-11,,E5_RON92,28950,1490
2022-05-11,,KO,25160,1340
2022-05-11,,RON95,29980,1550
2022-05-23,,"DO_0,05S",25550,-1100
2022-05-23,,E5_RON92,29630,680
2022-05-23,,KO,24400,-760
2022-05-23,,RON95,30650,670
2022-06-01,,"DO_0,05S",26390,840
2022-06-01,,E5_RON92,30230,600
2022-06-01,,KO,25340,940
2022-06-01,,RON95,31570,920
2022-06-13,,"DO_0,05S",29020,2630
2022-06-13,,E5_RON92,31110,880
2022-06-13,,KO,27830,2490
2022-06-13,,RON95,32370,800
2022-06-21,,"DO_0,05S",30010,990
2022-06-21,,E5_RON92,31300,190
2022-06-21,,KO,28780,950
2022-06-21,,RON95,32870,500
2022-07-01,,"DO_0,05S",29610,-400
2022-07-01,,E5_RON92,30890,-410
2022-07-01,,KO,28350,-430
2022-07-01,,RON95,32760,-110
2022-07-11,,"DO_0,05S",26590,-3020
2022-07-11,,E5_RON92,27780,-3110
2022-07-11,,KO,26340,-2010
2022-07-11,,RON95,29670,-3090
2022-07-21,,"DO_0,05S",24850,-1740
2022-07-21,,E5_RON92,25070,-2710
2022-07-21,,KO,25240,-1100
2022-07-21,,RON95,26070,-3600
2022-08-01,,"DO_0,05S",23900,-950
2022-08-01,,E5_RON92,24620,-450
2022-08-01,,KO,24530,-710
2022-08-01,,RON95,25600,-470
2022-08-11,,"DO_0,05S",22900,-1000
2022-08-11,,E5_RON92,23720,-900
2022-08-11,,KO,23320,-1210
2022-08-11,,RON95,24660,-940
2022-08-22,,"DO_0,05S",23750,850
2022-08-22,,E5_RON92,23720,0
2022-08-22,,KO,24050,730
2022-08-22,,RON95,24660,0
2022-09-05,,"DO_0,05S",25180,1430
2022-09-05,,E5_RON92,23350,-370
2022-09-05,,KO,25440,1390
2022-09-05,,RON95,24230,-430
2022-09-12,,"DO_0,05S",24180,-1000
2022-09-12,,E5_RON92,22230,-1120
2022-09-12,,KO,24410,-1030
2022-09-12,,RON95,23210,-1020
2022-09-21,,"DO_0,05S",22530,-1650
2022-09-21,,E5_RON92,21780,-450
2022-09-21,,KO,22440,-1970
2022-09-21,,RON95,22580,-630
2022-10-03,,"DO_0,05S",22200,-330
2022-10-03,,E5_RON92,20730,-1050
2022-10-03,,KO,21680,-760
2022-10-03,,RON95,21440,-1140
2022-10-11,,"DO_0,05S",24180,1980
2022-10-11,,E5_RON92,21290,560
2022-10-11,,KO,22820,1140
2022-10-11,,RON95,22000,560
2022-10-21,,"DO_0,05S",24780,600
2022-10-21,,E5_RON92,21490,200
2022-10-21,,KO,23660,840
2022-10-21,,RON95,22340,340
2022-11-01,,"DO_0,05S",25070,290
2022-11-01,,E5_RON92,21870,380
2022-11-01,,KO,23780,120
2022-11-01,,RON95,22750,410
2022-11-11,,"DO_0,05S",24980,-90
2022-11-11,,E5_RON92,22710,840
2022-11-11,,KO,24740,960
2022-11-11,,RON95,23860,1110
2022-11-21,,"DO_0,05S",24800,-180
2022-11-21,,E5_RON92,22670,-40
2022-11-21,,KO,24640,-100
2022-11-21,,RON95,23780,-80
2022-12-01,,"DO_0,05S",23210,-1590
2022-12-01,,E5_RON92,21670,-1000
