date,Brent,DO_0001S,DO_005S,E5_RON92,FO_30S,FO_35S,FO_380,FO_other,RON92,RON95,RON95_IV,WTI,dau_hoa
2017-03-20,197.0,,14440.0,17760.0,11770.0,11370.0,11270.0,,18020.0,18720.0,18870.0,215.0,12830.0
2017-03-21,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-22,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-23,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-24,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-25,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-26,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-27,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-28,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-29,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-30,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-03-31,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-04-01,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-04-02,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-04-03,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
2017-04-04,197.0,,13830.0,17090.0,11250.0,10850.0,10750.0,,17310.0,18010.0,18160.0,215.0,12170.0
