ngay_ky,mat_hang,don_vi,vung1,vung2
2017-08-04,Xăng sinh học E5 RON 92-II,Đồng/lít,16820,17150
2017-08-04,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13790,14060
2017-08-19,Dầu hỏa,Đồng/lít,12390,12630
2017-08-19,"Mazút No2B (3,0S)",Đồng/kg,11250,11470
2017-08-19,"Mazút No2B (3,5S)",Đồng/kg,11100,11100
2017-08-19,Mazút No3 (380),Đồng/kg,11000,11220
2017-08-19,Xăng RON 92-II,Đồng/lít,17480,17820
2017-08-19,"Xăng RON 95-II,III",Đồng/lít,18180,18540
2017-08-19,Xăng RON 95-IV,Đồng/lít,18380,18740
2017-08-19,Xăng sinh học E5 RON 92-II,Đồng/lít,17250,17590
2017-08-19,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13790,14060
2017-09-05,Brent,$97.97,197,205
2017-09-05,Dầu hỏa,Đồng/lít,12540,12790
2017-09-05,"Mazút No2B (3,0S)",Đồng/kg,11290,11510
2017-09-05,"Mazút No2B (3,5S)",Đồng/kg,11140,11140
2017-09-05,Mazút No3 (380),Đồng/kg,11040,11260
2017-09-05,WTI,$95.91,215,229
2017-09-05,Xăng RON 92-II,Đồng/lít,17790,18140
2017-09-05,"Xăng RON 95-II,III",Đồng/lít,18490,18850
2017-09-05,Xăng RON 95-IV,Đồng/lít,18690,19060
2017-09-05,Xăng sinh học E5 RON 92-II,Đồng/lít,17530,17880
2017-09-05,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,13950,14220
2017-09-20,Dầu hỏa,Đồng/lít,13110,13370
2017-09-20,"Mazút No2B (3,0S)",Đồng/kg,11680,11910
2017-09-20,"Mazút No2B (3,5S)",Đồng/kg,11530,11530
2017-09-20,Mazút No3 (380),Đồng/kg,11430,11650
2017-09-20,Xăng RON 92-II,Đồng/lít,18110,18470
2017-09-20,"Xăng RON 95-II,III",Đồng/lít,18810,19180
2017-09-20,Xăng RON 95-IV,Đồng/lít,19010,19390
2017-09-20,Xăng sinh học E5 RON 92-II,Đồng/lít,17830,18180
2017-09-20,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,14440,14720
2017-10-05,Brent,$97.97,197,205
2017-10-05,Dầu hỏa,Đồng/lít,13430,13690
2017-10-05,"Mazút No2B (3,0S)",Đồng/kg,11890,12120
2017-10-05,"Mazút No2B (3,5S)",Đồng/kg,11740,11740
2017-10-05,Mazút No3 (380),Đồng/kg,11640,11870
2017-10-05,WTI,$95.91,215,229
2017-10-05,Xăng RON 92-II,Đồng/lít,17990,18340
2017-10-05,"Xăng RON 95-II,III",Đồng/lít,18690,19060
2017-10-05,Xăng RON 95-IV,Đồng/lít,18890,19260
2017-10-05,Xăng sinh học E5 RON 92-II,Đồng/lít,17730,18080
2017-10-05,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,14580,14870
2017-10-20,Dầu hỏa,Đồng/lít,12990,13240
2017-10-20,"Mazút No2B (3,0S)",Đồng/kg,11790,12020
2017-10-20,"Mazút No2B (3,5S)",Đồng/kg,11640,11640
2017-10-20,Mazút No3 (380),Đồng/kg,11540,11770
2017-10-20,Xăng RON 92-II,Đồng/lít,17870,18220
2017-10-20,"Xăng RON 95-II,III",Đồng/lít,18570,18940
2017-10-20,Xăng RON 95-IV,Đồng/lít,18770,19140
2017-10-20,Xăng sinh học E5 RON 92-II,Đồng/lít,17630,17980
2017-10-20,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,14410,14690
2017-11-04,Brent,$97.97,197,205
2017-11-04,Dầu hỏa,Đồng/lít,13190,13450
2017-11-04,"Mazút No2B (3,0S)",Đồng/kg,12050,12290
2017-11-04,"Mazút No2B (3,5S)",Đồng/kg,11900,11900
2017-11-04,Mazút No3 (380),Đồng/kg,11800,12030
2017-11-04,WTI,$95.91,215,229
2017-11-04,Xăng RON 92-II,Đồng/lít,18140,18500
2017-11-04,"Xăng RON 95-II,III",Đồng/lít,18840,19210
2017-11-04,Xăng RON 95-IV,Đồng/lít,19040,19420
2017-11-04,Xăng sinh học E5 RON 92-II,Đồng/lít,17850,18200
2017-11-04,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,14610,14900
2017-11-20,Dầu hỏa,Đồng/lít,13610,13880
2017-11-20,"Mazút No2B (3,0S)",Đồng/kg,12530,12780
2017-11-20,"Mazút No2B (3,5S)",Đồng/kg,12380,12380
2017-11-20,Mazút No3 (380),Đồng/kg,12280,12520
2017-11-20,Xăng RON 92-II,Đồng/lít,18580,18950
2017-11-20,"Xăng RON 95-II,III",Đồng/lít,19280,19660
2017-11-20,Xăng RON 95-IV,Đồng/lít,19480,19860
2017-11-20,Xăng sinh học E5 RON 92-II,Đồng/lít,18240,18600
2017-11-20,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15010,15310
2017-12-05,Brent,$97.97,197,205
2017-12-05,Dầu hỏa,Đồng/lít,13610,13880
2017-12-05,"Mazút No2B (3,0S)",Đồng/kg,12530,12780
2017-12-05,"Mazút No2B (3,5S)",Đồng/kg,12380,12380
2017-12-05,Mazút No3 (380),Đồng/kg,12280,12520
2017-12-05,WTI,$95.91,215,229
2017-12-05,Xăng RON 92-II,Đồng/lít,18580,18950
2017-12-05,"Xăng RON 95-II,III",Đồng/lít,19280,19660
2017-12-05,Xăng RON 95-IV,Đồng/lít,19480,19860
2017-12-05,Xăng sinh học E5 RON 92-II,Đồng/lít,18240,18600
2017-12-05,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15160,15460
2017-12-15,Dầu hỏa,Đồng/lít,13610,13880
2017-12-15,"Mazút No2B (3,0S)",Đồng/kg,12530,12780
2017-12-15,"Mazút No2B (3,5S)",Đồng/kg,12380,12380
2017-12-15,Mazút No3 (380),Đồng/kg,12280,12520
2017-12-15,Xăng RON 92-II,Đồng/lít,18580,18950
2017-12-15,"Xăng RON 95-II,III",Đồng/lít,19280,19660
2017-12-15,Xăng RON 95-IV,Đồng/lít,19480,19860
2017-12-15,Xăng sinh học E5 RON 92-II,Đồng/lít,18240,18600
2017-12-15,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,15210,15510
2017-12-15,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15160,15460
2018-01-01,Brent,$97.97,197,205
2018-01-01,Dầu hỏa,Đồng/lít,13610,13880
2018-01-01,"Mazút No2B (3,0S)",Đồng/kg,12530,12780
2018-01-01,"Mazút No2B (3,5S)",Đồng/kg,12380,12380
2018-01-01,Mazút No3 (380),Đồng/kg,12280,12520
2018-01-01,WTI,$95.91,215,229
2018-01-01,"Xăng RON 95-II,III",Đồng/lít,19280,19660
2018-01-01,Xăng RON 95-IV,Đồng/lít,19480,19860
2018-01-01,Xăng sinh học E5 RON 92-II,Đồng/lít,18240,18600
2018-01-01,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,15210,15510
2018-01-01,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15160,15460
2018-01-04,Dầu hỏa,Đồng/lít,14110,14390
2018-01-04,"Mazút No2B (3,0S)",Đồng/kg,12760,13010
2018-01-04,"Mazút No2B (3,5S)",Đồng/kg,12610,12610
2018-01-04,Mazút No3 (380),Đồng/kg,12510,12760
2018-01-04,"Xăng RON 95-II,III",Đồng/lít,20090,20490
2018-01-04,Xăng RON 95-IV,Đồng/lít,20290,20690
2018-01-04,Xăng sinh học E5 RON 92-II,Đồng/lít,18240,18600
2018-01-04,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,15570,15880
2018-01-04,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15520,15830
2018-01-19,Dầu hỏa,Đồng/lít,14560,14850
2018-01-19,"Mazút No2B (3,0S)",Đồng/kg,12910,13160
2018-01-19,"Mazút No2B (3,5S)",Đồng/kg,12760,12760
2018-01-19,Mazút No3 (380),Đồng/kg,12660,12910
2018-01-19,"Xăng RON 95-II,III",Đồng/lít,20380,20780
2018-01-19,Xăng RON 95-IV,Đồng/lít,20580,20990
2018-01-19,Xăng sinh học E5 RON 92-II,Đồng/lít,18670,19040
2018-01-19,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,16000,16320
2018-01-19,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15950,16260
2018-02-03,Brent,$97.97,197,205
2018-02-03,Dầu hỏa,Đồng/lít,14560,14850
2018-02-03,"Mazút No2B (3,0S)",Đồng/kg,12910,13160
2018-02-03,"Mazút No2B (3,5S)",Đồng/kg,12760,12760
2018-02-03,Mazút No3 (380),Đồng/kg,12660,12910
2018-02-03,WTI,$95.91,215,229
2018-02-03,"Xăng RON 95-II,III",Đồng/lít,20380,20780
2018-02-03,Xăng RON 95-IV,Đồng/lít,20580,20990
2018-02-03,Xăng sinh học E5 RON 92-II,Đồng/lít,18670,19040
2018-02-03,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,16000,16320
2018-02-03,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15950,16260
2018-02-21,Dầu hỏa,Đồng/lít,14560,14850
2018-02-21,"Mazút No2B (3,0S)",Đồng/kg,12670,12920
2018-02-21,"Mazút No2B (3,5S)",Đồng/kg,12520,12520
2018-02-21,Mazút No3 (380),Đồng/kg,12420,12660
2018-02-21,"Xăng RON 95-II,III",Đồng/lít,19980,20370
2018-02-21,Xăng RON 95-IV,Đồng/lít,20180,20580
2018-02-21,Xăng sinh học E5 RON 92-II,Đồng/lít,18340,18700
2018-02-21,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,15760,16070
2018-02-21,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15710,16020
2018-03-08,Brent,$97.97,197,205
2018-03-08,Dầu hỏa,Đồng/lít,14560,14850
2018-03-08,"Mazút No2B (3,0S)",Đồng/kg,12670,12920
2018-03-08,"Mazút No2B (3,5S)",Đồng/kg,12520,12520
2018-03-08,Mazút No3 (380),Đồng/kg,12420,12660
2018-03-08,WTI,$95.91,215,229
2018-03-08,"Xăng RON 95-II,III",Đồng/lít,19980,20370
2018-03-08,Xăng RON 95-IV,Đồng/lít,20180,20580
2018-03-08,Xăng sinh học E5 RON 92-II,Đồng/lít,18340,18700
2018-03-08,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,15760,16070
2018-03-08,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15710,16020
2018-03-23,Dầu hỏa,Đồng/lít,14560,14850
2018-03-23,"Mazút No2B (3,0S)",Đồng/kg,12670,12920
2018-03-23,"Mazút No2B (3,5S)",Đồng/kg,12520,12520
2018-03-23,Mazút No3 (380),Đồng/kg,12420,12660
2018-03-23,"Xăng RON 95-II,III",Đồng/lít,19980,20370
2018-03-23,Xăng RON 95-IV,Đồng/lít,20180,20580
2018-03-23,Xăng sinh học E5 RON 92-II,Đồng/lít,18340,18700
2018-03-23,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,15760,16070
2018-03-23,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,15710,16020
2018-04-07,Brent,$97.97,197,205
2018-04-07,Dầu hỏa,Đồng/lít,15080,15380
2018-04-07,"Mazút No2B (3,0S)",Đồng/kg,13100,13360
2018-04-07,"Mazút No2B (3,5S)",Đồng/kg,12950,12950
2018-04-07,Mazút No3 (380),Đồng/kg,12850,13100
2018-04-07,WTI,$95.91,215,229
2018-04-07,"Xăng RON 95-II,III",Đồng/lít,20500,20910
2018-04-07,Xăng RON 95-IV,Đồng/lít,20700,21110
2018-04-07,Xăng sinh học E5 RON 92-II,Đồng/lít,18930,19300
2018-04-07,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,16400,16720
2018-04-07,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,16350,16670
2018-04-23,Dầu hỏa,Đồng/lít,15580,15890
2018-04-23,"Mazút No2B (3,0S)",Đồng/kg,13510,13780
2018-04-23,"Mazút No2B (3,5S)",Đồng/kg,13360,13360
2018-04-23,Mazút No3 (380),Đồng/kg,13260,13520
2018-04-23,"Xăng RON 95-II,III",Đồng/lít,20500,20910
2018-04-23,Xăng RON 95-IV,Đồng/lít,20700,21110
2018-04-23,Xăng sinh học E5 RON 92-II,Đồng/lít,18930,19300
2018-04-23,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,16780,17110
2018-04-23,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,16730,17060
2018-05-08,Brent,$97.97,197,205
2018-05-08,Dầu hỏa,Đồng/lít,15910,16220
2018-05-08,"Mazút No2B (3,0S)",Đồng/kg,13900,14170
2018-05-08,"Mazút No2B (3,5S)",Đồng/kg,13750,13750
2018-05-08,Mazút No3 (380),Đồng/kg,13650,13920
2018-05-08,WTI,$95.91,215,229
2018-05-08,"Xăng RON 95-II,III",Đồng/lít,20910,21320
2018-05-08,Xăng RON 95-IV,Đồng/lít,21110,21530
2018-05-08,Xăng sinh học E5 RON 92-II,Đồng/lít,19440,19820
2018-05-08,"Điêzen 0,001S-V (DO 0,001S-V)",Đồng/lít,17150,17490
2018-05-08,"Điêzen 0,05S (DO 0.005S)",Đồng/lít,17100,17440
2018-05-23,Dầu hỏa,Đồng/lít,16440,16760
2018-05-23,"Mazút No2B (3,0S)",Đồng/kg,14580,14870
2018-05-23,"Mazút No2B (3,5S)",Đồng/kg,14430,14430
2018-05-23,Mazút No3 (380),Đồng/kg,14330,14610
2018-05-23,"Xăng RON 95-II,III",Đồng/lít,21510,21940
2018-05-23,Xăng RON 95-IV,Đồng/lít,21710,22140
2018-05-23,Xăng sinh học E5 RON 92-II,Đồng/lít,19940,20330
